id,oppgave_master_id,kode,beskrivelse,bygningsdel
0007c666-7316-4be6-925a-d3415420f1e5,325.01,1.3,Kontroller visuelt for lekkasjer og ødelagt isolasjon. Hør etter ulyder.,325
012c93b8-7ef6-4fb4-88d7-7e48097d370b,332.02,1.2,Lukke evt. avvik fra servicerapporten,332
014d9afb-5594-4e8a-ace7-1dfe8b73c228,360.01,1.12,Kontroller at plastslangene til manometrene er hele og er koblet sammen,360
01e4d43a-eb35-4467-9341-50fe4b23e3ce,625.01,1.3,Foreta en testtur,625
02ee19bf-0eb0-4da9-8d75-537571d70852,237.02,1.2,Kontroller innfesting og hengsler,237
03c535eb-3092-4a48-a0f5-408d587e0d86,400.01,1.06,Kontroller at alle skjøteledninger med jordleder er koblet til støpsel med jord,400
03db7e17-c62e-4ca6-9cd6-c2d2c419e198,350.02,1.03,"Kontroller temperaturer, trykk, pressosstater og oljenivå",350
066e7dfe-062e-4625-b7a6-cae90cda124b,430.01,1.11,Kontroller at det alltid er reservesikringer tilgjengelig dersom det er skrusikringer,430
06bd4319-2dec-4a7d-9e07-bc5157289548,738.01,1.3,Rens filter ved behov,738
086032a6-e011-405e-bf6b-b15feaf2945c,350.01,1.3,Lagre servicerapport som dokumentasjon,350
09a33d28-5efe-41c7-9629-46e09186d364,271.01,1.1,Utfør visuell kontroll av alle piper utvendig og innvendig,271
0a139501-fff8-4d3b-9bcf-38713cb54347,443.01,1.3,Kontroller at ledeskilt er tilstrekkelig etablert eller om det evt. mangler skilt,443
0aacb02f-5ff4-4919-bacb-637e5c0f4685,332.03,1.3,Lagre servicerapport som dokumentasjon,332
0b3919aa-f382-4d35-b679-7c4bedb746b6,360.01,1.13,Kontroller at det er samsvar mellom skjermbilde på SD-anlegget og faktiske avleste verdier,360
0e7e717a-94f3-43e9-aba1-c08482b2cca0,745.02,1.1,Bestill årlig service og vedlikehold av gatevarmeanlegget,745
0eb0ce29-9d30-4013-bab4-fb62fba2bac5,263.01,1.3,Lagre servicerapport som dokumentasjon,263
0fbaf090-a992-4b64-878e-db87fd7cadb4,542.02,1.1,Kontroller brannalarmsentral og paneler,542
10e4cf98-602e-45e9-a8a6-45aa58bcdcf5,626.02,1.3,Foreta et testløft,626
11c0adb2-ee0f-4a9a-b3e3-0ae9f697e399,381.02,1.1,Utfør gjennomspyling av Enwamatic-anlegg,381
12879b83-edbe-4888-a649-688f424e18d8,725.01,1.1,Utfør funksjonstest,725
12ae2f27-8be6-43d3-a32d-627fef758fb6,262.01,1.6,Kontroller at alle snøfangerne er i orden,262
13079112-e788-42fe-8526-2977d47e0f80,738.03,1.1,Bestill årlig service og vedlikehold av dam- og fonteneanlegget,738
13cd8ca5-172b-4145-afdf-af441447478a,400.01,1.12,Kontroller at det er lett tilgjengelig nødstoppsbrytere for alt maskineri,400
1467415e-2b08-4c19-8795-19c1da35961c,725.01,1.4,Kontroller for skader og hærverk,725
1486c9b8-13fd-49f4-8d15-75aa8ddb2e5a,381.03,1.2,Lukke evt. Avvik fra servicerapporten,381
14b1102a-6b17-454e-bac6-a2fb790bf0ff,732.01,1.7,Kontroller for lekkasjer i fordelerstokk og øvrig røranlegg,732
1639100c-298f-4636-a0c7-597b6aae5d0f,360.01,1.11,"Rengjør/støvsug varmegjennvinner, varmebatteri, kjølebatteri og aggregathus generelt",360
166153a5-65ea-4398-b0a6-ba5aa85bdac6,360.02,1.1,"Bestill årlig kontroll, ettersyn og vedlikehold for ventilasjonsaggregatet",360
16b1ad49-479f-4753-9e54-f69427b14533,400.01,1.09,Kontroller at varmeovner ikke er tildekket,400
1a214217-15e9-4876-98a4-3c71a10131e6,200.03,1.1,Bestill årlig kontroll og ettersyn for skadedyrkontroll fra sertifisert leverandør,200
1b4dfff5-7c04-44cc-879b-a2faacaf43d1,745.02,1.3,Lagre servicerapporten som dokumentasjon,745
1bf7024c-9bc5-46af-bcf4-487f1dde5b35,381.01,1.1,Rens/skift filter,381
1bffd7bd-4fb8-4232-a9e3-e4122a9c52de,325.03,1.2,Lukke evt. Avvik fra servicerapporten,325
1c7858ce-3e85-48c4-91ea-6c77ffc8e801,454.02,1.2,Kontroller temperatur,454
1f6146a0-7541-4d62-93a4-db7f76d4a1ba,312.01,1.4,Kontroller at sluk som er utsatt for frost etterfylles med frostvæske/glykol,312
1fa2a9ff-b19a-4005-ad5b-e9b9a6dce935,263.01,1.2,Lukk evt. avvik fra servicerapport,263
21aa1fc5-d9ec-4f90-b1fb-882aa2cb6f82,310.02,1.1,Kontroller at utekraner åpnes om våren og stenges om høsten,310
21acdbf3-077d-4eb3-a37f-2b59df8e9373,732.01,1.5,Kontroller tur- og returtemperaturen,732
227bd656-3900-44e4-8cd1-88752c398a94,624.01,1.3,Foreta en testtur,624
229e697d-c873-492e-bd0b-0fd789e86d7c,443.02,1.2,Kontroller at alle markeringslys- og ledelys fungerer i hele bygget,443
2307d2f4-3174-442c-8954-9f14bc4001ca,442.01,1.2,Visuell kontroll av alle lysarmaturer i fellesarealer og vurder behovet for gruppeskift,442
23b821fb-6c5b-4d59-bc24-13163165cb79,738.02,1.3,Utfør generell funksjonstest iht. anleggets instruks,738
23c95ee6-4028-4b82-85a8-629c509af14e,725.01,1.2,Lytt etter ulyder og smør ved behov,725
2423526e-f3aa-4602-98b4-7af8c91bee54,732.01,1.8,Kontroller styrringspanel.,732
255e984c-f465-4068-b8a8-1c45861ffb4f,312.01,1.2,Kontroller at det er tilstrekkelig med vann i alle vannlåser og etterfyll ved behov,312
263534eb-cab8-41f4-9c20-60fa7cef74b9,300.01,1.06,Kontroller alarmoverføring og signaloverføring til brannsentral,332
27062f46-ca27-4813-abcc-4803ff29f0ab,362.01,1.1,Kontroller at viften går som normalt,362
2789e023-cfe8-48f6-884d-2cce70cc5dba,325.01,1.1,"Kontroller at alle pumper går uten ulyder, vibrasjoner eller lekkasjer og varmgang",325
282d1d79-94db-49da-97fd-187893e659e9,362.01,1.2,Lytt etter ulyder,362
2a27b9f8-daa6-4015-82b9-c2da432221d6,454.01,1.2,"Juster termostaten etter sesong/årstid, evt. Slå av om våren og på om høsten",454
2a6e71aa-9fff-4eec-88cc-5fd675c8a4c6,731.01,1.1,Kontroller pumpen for ulyder og vibrasjoner,731
